name,label,gender,region,format,augmentation,original_name
khundrakpam narzary,PERSON,female,northeast,lower,original,khundrakpam narzary
Anikte,PERSON,male,bengali,firstname_only_typo_swap,typo_swap,Aniket
Kachhwaha    Kokilaben,PERSON,female,jain,lastname_firstname_extra_spaces,extra_spaces,Kachhwaha Kokilaben
Kumaravel Nagarajan,PERSON,male,tamil,firstname_lastname,original,Kumaravel Nagarajan
B Wa...,PERSON,male,punjabi,initial_lastname_partial_masked,partial_masked,B Walia
kanan   zala,PERSON,female,gujarati,lower_extra_spaces,extra_spaces,kanan zala
Gahane,PERSON,female,hindi,firstname_lastname_last_name_only,last_name_only,Ojasvi Gahane
sarojben otmar,PERSON,female,jain,lower_typo_swap,typo_swap,sarojben tomar
Dobhal Shobha,PERSON,female,hindi,lastname_firstname,original,Dobhal Shobha
Devdatta B,PERSON,male,marathi,firstname_initial,original,Devdatta B
Sagar Ahuja,PERSON,female,rajasthani,firstname_lastname,original,Sagar Ahuja
Santhosh B,PERSON,male,kannada,firstname_initial,original,Santhosh B
Dhangar Siat,PERSON,female,rajasthani,lastname_firstname_typo_swap,typo_swap,Dhangar Sita
ugam ydav,PERSON,female,rajasthani,lower_char_drop,char_drop,ugami yadav
T   Deori,PERSON,male,northeast,initial_lastname_extra_spaces,extra_spaces,T Deori
Twink...,PERSON,female,gujarati,firstname_lastname_partial_masked,partial_masked,Twinkle Acharya
MOHAN  KOLA,PERSON,male,telugu,upper_extra_spaces,extra_spaces,MOHAN KOLA
veena sastry-4353,PERSON,female,telugu,lower_suffix_noise,suffix_noise,veena sastry
Sarbeswar K,PERSON,male,odia,firstname_initial,original,Sarbeswar K
H Ganapathy,PERSON,male,christian,initial_lastname,original,H Ganapathy
M Sindhi,PERSON,male,rajasthani,initial_lastname,original,M Sindhi
Sran,PERSON,female,punjabi,initial_lastname_last_name_only,last_name_only,C Sran
Sacihn P,PERSON,male,marathi,firstname_initial_typo_swap,typo_swap,Sachin P
D Cada,PERSON,male,punjabi,initial_lastname_phonetic_sub,phonetic_sub,D Chadha
rakh sheth,PERSON,male,gujarati,lower_char_drop,char_drop,rakesh sheth
SHRAZ KOTWAL,PERSON,female,parsi,upper_char_drop,char_drop,SHIRAZ KOTWAL
jayalalitha  kondapalli,PERSON,female,telugu,lower_extra_spaces,extra_spaces,jayalalitha kondapalli
W Singha,PERSON,male,bengali,initial_lastname_phonetic_sub,phonetic_sub,B Singha
Kipgen,PERSON,female,northeast,firstname_lastname_last_name_only,last_name_only,Konsam Kipgen
L Katragadda,PERSON,female,telugu,initial_lastname,original,L Katragadda
P. Nagori,PERSON,female,gujarati,initial_lastname_dots_added,dots_added,P Nagori
Imsunaro Phom,PERSON,female,northeast,firstname_lastname,original,Imsunaro Phom
Nanda Rlamchandra,PERSON,male,odia,lastname_firstname_char_insert,char_insert,Nanda Ramchandra
aman siddiiq,PERSON,male,muslim,lower_typo_swap,typo_swap,aman siddiqi
D Nskr,PERSON,female,bengali,initial_lastname_vowel_drop,vowel_drop,D Naskar
Ugami Y-8692,PERSON,female,rajasthani,firstname_initial_suffix_noise,suffix_noise,Ugami Y
Teresa I,PERSON,female,christian,firstname_initial,original,Teresa I
Chelladurai    Selvi,PERSON,female,tamil,lastname_firstname_extra_spaces,extra_spaces,Chelladurai Selvi
Hari Banerje,PERSON,male,assamese,firstname_lastname_double_merge,double_merge,Hari Banerjee
Draupdi D,PERSON,female,odia,firstname_initial_char_drop,char_drop,Draupadi D
Kunal. Trivedi.,PERSON,male,gujarati,firstname_lastname_dots_added,dots_added,Kunal Trivedi
Schaji kant tampi,PERSON,male,malayalam,three_part_phonetic_sub,phonetic_sub,Shaji Kant Thampi
S_Kotak,PERSON,female,gujarati,initial_lastname_space_replaced,space_replaced,S Kotak
TEJAS DEVADIGA633,PERSON,male,kannada,upper_suffix_noise,suffix_noise,TEJAS DEVADIGA
Manideep M,PERSON,male,telugu,firstname_initial,original,Manideep M
UU Kar,PERSON,male,bengali,initial_lastname_char_repeat,char_repeat,U Kar
Jayamma_Lakshmi_Naik,PERSON,female,kannada,three_part_space_replaced,space_replaced,Jayamma Lakshmi Naik
Piyali H,PERSON,female,bengali,firstname_initial,original,Piyali H
DHI DEB,PERSON,male,assamese,upper_abbreviated,abbreviated,DHIREN DEBNATH
Mrs T Gazipur,PERSON,female,muslim,initial_lastname_prefix_noise,prefix_noise,T Gazipur
Kaveri G,PERSON,female,marathi,firstname_initial,original,Kaveri G
Jyot Ahirwr,PERSON,female,hindi,firstname_lastname_char_drop,char_drop,Jyoti Ahirwar
Vimalben Shekhawat,PERSON,female,jain,firstname_lastname,original,Vimalben Shekhawat
panchamasali,PERSON,male,kannada,lower_last_name_only,last_name_only,anantha panchamasali
Khara Chakradhar,PERSON,male,odia,lastname_firstname,original,Khara Chakradhar
Khal Jila,PERSON,male,muslim,firstname_lastname_abbreviated,abbreviated,Khalid Jilani
S_D_Bhandary,PERSON,male,kannada,initials_lastname_space_replaced,space_replaced,S D Bhandary
U.Sood,PERSON,male,rajasthani,initial_lastname_space_replaced,space_replaced,U Sood
omji Nowshir,PERSON,male,parsi,lastname_firstname_char_drop,char_drop,Homji Nowshir
Edith P.,PERSON,female,christian,firstname_initial_dots_added,dots_added,Edith P
BRIDGET GAIROLA,PERSON,female,christian,upper,original,BRIDGET GAIROLA
K Maumdr,PERSON,female,bengali,initial_lastname_char_drop,char_drop,K Majumdar
N Namasivayam,PERSON,female,tamil,initial_lastname,original,N Namasivayam
anju mathews,PERSON,female,malayalam,lower,original,anju mathews
venkatapa raichur,PERSON,male,kannada,lower_char_drop,char_drop,venkatappa raichur
FARID...,PERSON,female,muslim,three_part_upper_partial_masked,partial_masked,FARIDA PRITI WARSI
KHOMDRAM SANGTAM,PERSON,female,northeast,upper,original,KHOMDRAM SANGTAM
Vhwanath M,PERSON,male,kannada,firstname_initial_char_drop,char_drop,Vishwanath M
kalipada bandyopadhyay,PERSON,male,bengali,lower,original,kalipada bandyopadhyay
J Sivaubramnian,PERSON,female,tamil,initial_lastname_char_drop,char_drop,J Sivasubramanian
Prcy I,PERSON,male,christian,firstname_initial_char_drop,char_drop,Percy I
Jog Indira,PERSON,female,marathi,lastname_firstname,original,Jog Indira
K Pradan,PERSON,male,odia,initial_lastname_phonetic_sub,phonetic_sub,K Pradhan
Jog***,PERSON,male,assamese,firstname_only_partial_masked,partial_masked,Jogesh
Kailasam G-507,PERSON,male,telugu,firstname_initial_suffix_noise,suffix_noise,Kailasam G
CHANDANA HBANDARY,PERSON,female,kannada,upper_typo_swap,typo_swap,CHANDANA BHANDARY
Mangal***,PERSON,female,kannada,firstname_lastname_partial_masked,partial_masked,Mangala Salian
Anal Zbuin,PERSON,male,assamese,lastname_firstname_typo_swap,typo_swap,Anal Zubin
PSYoganathan,PERSON,male,tamil,initials_lastname_no_spaces,no_spaces,P S Yoganathan
P/M/Barik,PERSON,female,bengali,initials_lastname_space_replaced+dots_added,space_replaced+dots_added,P M Barik
Mrs Nabanita M,PERSON,female,assamese,firstname_initial_truncated_ellipsis+prefix_noise,truncated_ellipsis+prefix_noise,Nabanita M
RDAHA MEGANATHAN,PERSON,female,tamil,upper_typo_swap,typo_swap,RADHA MEGANATHAN
ANAND NAYAR,PERSON,male,kannada,upper,original,ANAND NAYAR
F DXXX,PERSON,female,parsi,initial_lastname_partial_masked,partial_masked,F Dubash
TAPA DASH,PERSON,male,odia,upper_abbreviated,abbreviated,TAPAN DASH
Eswar K,PERSON,male,telugu,firstname_initial,original,Eswar K
s d hEmB***,PERSON,male,odia,initials_lastname_case_noise+partial_masked,case_noise+partial_masked,S D Hembram
SHARAD LIBMANI,PERSON,male,gujarati,upper_typo_swap,typo_swap,SHARAD LIMBANI
Anita T,PERSON,female,hindi,firstname_initial,original,Anita T
shrabani dasgupta,PERSON,female,bengali,lower,original,shrabani dasgupta
Sana. Malik,PERSON,female,muslim,firstname_lastname_dots_added,dots_added,Sana Malik
Gnehmal,PERSON,male,jain,firstname_only_char_drop,char_drop,Ganeshmal
calvin napskar,PERSON,male,christian,lower_char_insert,char_insert,calvin naskar
S Bodo,PERSON,male,northeast,initial_lastname,original,S Bodo
Arunacalam wAsudevan,PERSON,male,tamil,lastname_firstname_phonetic_sub,phonetic_sub,Arunachalam Vasudevan
MOTILAL PRAKASH CHHIP,PERSON,male,rajasthani,three_part_upper_truncated,truncated,MOTILAL PRAKASH CHHIPA
Kamala Sunny,PERSON,female,malayalam,firstname_lastname,original,Kamala Sunny
Nazir-Edulji,PERSON,male,parsi,lastname_firstname_space_replaced,space_replaced,Nazir Edulji
Chetna Shanti Vagh.,PERSON,female,gujarati,three_part_truncated_ellipsis,truncated_ellipsis,Chetna Shanti Vaghela
M Vijayan,PERSON,male,christian,initial_lastname,original,M Vijayan
Hemchand Jain,PERSON,male,jain,firstname_lastname,original,Hemchand Jain
R L Moyon,PERSON,female,assamese,initials_lastname,original,R L Moyon
DAMAYANTHI REKULA.,PERSON,female,telugu,upper_truncated_ellipsis,truncated_ellipsis,DAMAYANTHI REKULAPALLI
sagarmal ratur...,PERSON,male,jain,lower_truncated_ellipsis,truncated_ellipsis,sagarmal raturi
Behroz P,PERSON,female,parsi,firstname_initial,original,Behroz P
ASHA MAIYA,PERSON,female,kannada,upper,original,ASHA MAIYA
THADOU,PERSON,female,assamese,upper_last_name_only,last_name_only,DULUMONI THADOU
A Ahmed,PERSON,female,muslim,initial_lastname,original,A Ahmed
NKotwal,PERSON,female,parsi,initial_lastname_no_spaces,no_spaces,N Kotwal
Chandra Dhee..,PERSON,male,telugu,lastname_firstname_truncated_ellipsis,truncated_ellipsis,Chandra Dheeraj
Bhanu Vohra,PERSON,male,hindi,firstname_lastname,original,Bhanu Vohra
bhaghand tanwar,PERSON,male,jain,lower_char_drop,char_drop,bhagchand tanwar
P2P-F Havewala,PERSON,female,parsi,initial_lastname_prefix_noise,prefix_noise,F Havewala
M_Hiremath,PERSON,male,kannada,initial_lastname_space_replaced,space_replaced,M Hiremath
RAMCHAND DHANKA,PERSON,male,jain,upper,original,RAMCHAND DHANKA
Prabhlen,PERSON,female,punjabi,firstname_only_double_merge,double_merge,Prabhleen
Khetaram. R.,PERSON,male,rajasthani,firstname_initial_dots_added,dots_added,Khetaram R
Chang Vho,PERSON,male,northeast,lastname_firstname_char_drop,char_drop,Chang Vikho
Nandini M,PERSON,female,kannada,firstname_initial,original,Nandini M
S Marrathe,PERSON,male,marathi,initial_lastname_char_repeat,char_repeat,S Marathe
Bireswar,PERSON,male,bengali,lastname_firstname_last_name_only,last_name_only,Dutta Bireswar
DalpatramVerma,PERSON,male,jain,firstname_lastname_no_spaces,no_spaces,Dalpatram Verma
Heamnt Dandekar,PERSON,male,marathi,firstname_lastname_typo_swap,typo_swap,Hemant Dandekar
jayalalitha kodnapa,PERSON,female,telugu,lower_typo_swap+truncated,typo_swap+truncated,jayalalitha kondapalli
L Barik,PERSON,female,odia,initial_lastname,original,L Barik
Sudha Devadi,PERSON,female,kannada,firstname_lastname_truncated,truncated,Sudha Devadiga
SUMANTRA BOSE FHH,PERSON,male,bengali,upper_suffix_noise,suffix_noise,SUMANTRA BOSE
TEIBOKLANG WANCHO,PERSON,male,northeast,upper,original,TEIBOKLANG WANCHO
D Jaekhar,PERSON,male,christian,initial_lastname_char_insert,char_insert,D Jakhar
amji Firdusi,PERSON,male,parsi,lastname_firstname_char_drop,char_drop,Bamji Firdausi
eetha Kanti Kathirean,PERSON,female,tamil,three_part_char_drop,char_drop,Seetha Kanti Kathiresan
D Panda,PERSON,male,bengali,initial_lastname,original,D Panda
Fadia Neela,PERSON,female,gujarati,lastname_firstname,original,Fadia Neela
kinjal p..,PERSON,male,gujarati,lower_partial_masked+char_drop,partial_masked+char_drop,kinjal pandey
FRENY_KAPADIA,PERSON,female,parsi,upper_space_replaced,space_replaced,FRENY KAPADIA
iSta Mehra,PERSON,female,hindi,firstname_lastname_typo_swap,typo_swap,Sita Mehra
Byndoor Nanjunda,PERSON,male,kannada,lastname_firstname,original,Byndoor Nanjunda
tombi purum,PERSON,female,northeast,lower,original,tombi purum
atha,PERSON,female,tamil,firstname_only_char_drop,char_drop,Latha
HARIKANAIDU,PERSON,female,telugu,upper_no_spaces,no_spaces,HARIKA NAIDU
Rahima   B,PERSON,female,muslim,firstname_initial_extra_spaces,extra_spaces,Rahima B
A  Jayachandan,PERSON,male,malayalam,initials_lastname_char_drop,char_drop,A B Jayachandran
Bagi  Asha,PERSON,female,kannada,lastname_firstname_extra_spaces,extra_spaces,Bagi Asha
D Kaswan,PERSON,male,rajasthani,initial_lastname,original,D Kaswan
P Simte,PERSON,male,northeast,initial_lastname,original,P Simte
kamakha chatterjee,PERSON,male,assamese,lower_char_drop,char_drop,kamakhya chatterjee
Ridlang M,PERSON,male,northeast,firstname_initial,original,Ridlang M
Vaishali T,PERSON,female,gujarati,firstname_initial,original,Vaishali T
aJyant G,PERSON,male,marathi,firstname_initial_typo_swap,typo_swap,Jayant G
Gill,PERSON,male,hindi,lastname_firstname_first_name_only,first_name_only,Gill Hitesh
Hafeez G,PERSON,male,muslim,firstname_initial,original,Hafeez G
candulal maniar,PERSON,male,jain,lower_phonetic_sub,phonetic_sub,chandulal maniar
Sri R Kayal,PERSON,male,assamese,initial_lastname_prefix_noise,prefix_noise,R Kayal
Roy Lakshmi,PERSON,female,malayalam,lastname_firstname,original,Roy Lakshmi
BOMAN DRIVER,PERSON,male,parsi,upper,original,BOMAN DRIVER
Nirvair Thapar,PERSON,male,punjabi,firstname_lastname,original,Nirvair Thapar
EZHUMALAI UDAYAR,PERSON,male,tamil,upper,original,EZHUMALAI UDAYAR
Dhiraj G,PERSON,male,bengali,firstname_initial,original,Dhiraj G
Zaheer Korangi,PERSON,male,muslim,firstname_lastname,original,Zaheer Korangi
F. S. Kaswan,PERSON,male,rajasthani,initials_lastname_dots_added,dots_added,F S Kaswan
Vina***,PERSON,female,marathi,three_part_partial_masked,partial_masked,Vinaya Kiran Valunjkar
Shivi B,PERSON,female,hindi,firstname_initial_char_drop,char_drop,Shivani B
Sherwani Kulsum,PERSON,female,muslim,lastname_firstname,original,Sherwani Kulsum
CCharlotte,PERSON,female,christian,firstname_only_char_repeat,char_repeat,Charlotte
priyanka saha19,PERSON,female,assamese,lower_suffix_noise,suffix_noise,priyanka saha
Dhawan Chhotu,PERSON,male,hindi,lastname_firstname,original,Dhawan Chhotu
T ubba,PERSON,female,northeast,initial_lastname_char_drop,char_drop,T Subba
Kantabe Rana,PERSON,female,jain,firstname_lastname_char_drop,char_drop,Kantaben Rana
Al S,PERSON,male,christian,firstname_initial_abbreviated,abbreviated,Alwyn S
Jamilaa,PERSON,female,muslim,firstname_only_char_repeat,char_repeat,Jamila
indumathi wali,PERSON,female,kannada,lower,original,indumathi wali
poornimapai,PERSON,female,kannada,lower_no_spaces,no_spaces,poornima pai
Malaya Malla,PERSON,female,odia,firstname_lastname,original,Malaya Malla
Thirumagal,PERSON,female,tamil,firstname_only,original,Thirumagal
R Go,PERSON,male,malayalam,initial_lastname_abbreviated,abbreviated,R Govindan
NIRMAA TANTRY,PERSON,female,kannada,upper_char_drop,char_drop,NIRMALA TANTRY
Kayal Rhima,PERSON,female,bengali,lastname_firstname_char_insert,char_insert,Kayal Rima
sharanjit anand,PERSON,female,punjabi,lower,original,sharanjit anand
Baljndr Vrk,PERSON,female,punjabi,firstname_lastname_vowel_drop,vowel_drop,Baljinder Virk
Walbir Bhatia,PERSON,female,punjabi,firstname_lastname_phonetic_sub,phonetic_sub,Balbir Bhatia
KulkarniVasant,PERSON,male,marathi,lastname_firstname_no_spaces,no_spaces,Kulkarni Vasant
Bhalachandra Veer.,PERSON,male,marathi,three_part_truncated_ellipsis,truncated_ellipsis,Bhalachandra Veer Gadgil
asan,PERSON,male,malayalam,firstname_only_char_drop,char_drop,Dasan
namonarayan siyag-401,PERSON,male,jain,lower_suffix_noise,suffix_noise,namonarayan siyag
Faredon M,PERSON,male,parsi,firstname_initial_double_merge,double_merge,Faredoon M
NaliniS,PERSON,male,assamese,firstname_initial_no_spaces,no_spaces,Nalini S
Ratanlal Chaturvedi,PERSON,male,rajasthani,firstname_lastname,original,Ratanlal Chaturvedi
Schyamsundar v,PERSON,male,odia,firstname_initial_phonetic_sub,phonetic_sub,Shyamsundar B
Mar P,PERSON,male,christian,firstname_initial_abbreviated,abbreviated,Marcus P
Bosco G,PERSON,male,christian,firstname_initial,original,Bosco G
Irene,PERSON,female,christian,firstname_initial_truncated+first_name_only,truncated+first_name_only,Irene K
J/Reang,PERSON,male,northeast,initial_lastname_space_replaced,space_replaced,J Reang
benjamin gounder,PERSON,male,christian,lower,original,benjamin gounder
merenla pete,PERSON,female,northeast,lower_phonetic_sub,phonetic_sub,merenla paite
Indr Khat,PERSON,male,hindi,firstname_lastname_abbreviated,abbreviated,Indrajeet Khatik
S/Jeyachandran,PERSON,male,tamil,initial_lastname_space_replaced,space_replaced,S Jeyachandran
C Blamrgn,PERSON,female,tamil,initial_lastname_vowel_drop,vowel_drop,C Balamurugan
Yvne,PERSON,female,christian,firstname_only_char_drop,char_drop,Yvonne
K aai,PERSON,male,odia,initial_lastname_char_drop,char_drop,K Palai
Roxana Engnieer,PERSON,female,parsi,firstname_lastname_typo_swap,typo_swap,Roxana Engineer
dash,PERSON,female,odia,lower_last_name_only,last_name_only,ambika dash
N Aga,PERSON,female,parsi,initial_lastname,original,N Aga
N Naqvi,PERSON,male,muslim,initial_lastname,original,N Naqvi
AVANTI KALE,PERSON,female,marathi,upper,original,AVANTI KALE
P Dolui,PERSON,female,bengali,initial_lastname,original,P Dolui
patEL_dEviKa,PERSON,female,hindi,lastname_firstname_case_noise+space_replaced,case_noise+space_replaced,Patel Devika
Ringai R,PERSON,male,northeast,firstname_initial,original,Ringai R
Tejpal K,PERSON,female,punjabi,firstname_initial,original,Tejpal K
JAYASHREEMALLYA,PERSON,female,kannada,upper_no_spaces,no_spaces,JAYASHREE MALLYA
P2P-P Tripathy,PERSON,male,odia,initial_lastname_prefix_noise,prefix_noise,P Tripathy
A M Makwana-697,PERSON,male,gujarati,initials_lastname_suffix_noise,suffix_noise,A M Makwana
Marndi Jaydev,PERSON,male,odia,lastname_firstname,original,Marndi Jaydev
A    D  Sood,PERSON,male,jain,initials_lastname_extra_spaces,extra_spaces,A D Sood
Bhandary Chaitra-625,PERSON,female,kannada,lastname_firstname_suffix_noise,suffix_noise,Bhandary Chaitra
Tripti,PERSON,female,hindi,firstname_only,original,Tripti
Pathak,PERSON,male,christian,initial_lastname_last_name_only,last_name_only,R Pathak
Ghori Tapai,PERSON,female,assamese,lastname_firstname_char_drop,char_drop,Ghorai Tapasi
DHARMARAO   YERRA,PERSON,male,telugu,upper_extra_spaces,extra_spaces,DHARMARAO YERRA
Vas K,PERSON,male,marathi,firstname_initial_abbreviated+abbreviated,abbreviated+abbreviated,Vasant K
Lualit Kala,PERSON,male,hindi,firstname_lastname_char_insert,char_insert,Lalit Kala
induben chaturvedi,PERSON,female,jain,lower,original,induben chaturvedi
Mr Kastur,PERSON,female,jain,firstname_only_prefix_noise,prefix_noise,Kastur
Hittesh N,PERSON,male,gujarati,firstname_initial_char_repeat,char_repeat,Hitesh N
HSAILAJA PHULE,PERSON,female,marathi,upper_typo_swap,typo_swap,SHAILAJA PHULE
Munira Smriti Naqvi,PERSON,female,muslim,three_part,original,Munira Smriti Naqvi
Zita M,PERSON,female,christian,firstname_initial,original,Zita M
Mehnaz,PERSON,female,muslim,firstname_only,original,Mehnaz
Tomar Shikha.,PERSON,female,hindi,lastname_firstname_dots_added,dots_added,Tomar Shikha
NarahariNayak,PERSON,male,odia,firstname_lastname_no_spaces,no_spaces,Narahari Nayak
S Jedhe,PERSON,male,marathi,initial_lastname,original,S Jedhe
Nanda Charluata,PERSON,female,odia,lastname_firstname_typo_swap,typo_swap,Nanda Charulata
GOBIND   ARORA,PERSON,male,punjabi,upper_extra_spaces,extra_spaces,GOBIND ARORA
SUMATHI,PERSON,female,kannada,upper_first_name_only,first_name_only,SUMATHI BHANDARY
MohXXX,PERSON,female,marathi,firstname_initial_partial_masked,partial_masked,Mohini G
R Bajaj,PERSON,male,rajasthani,initial_lastname,original,R Bajaj
S Dovi/51,PERSON,male,hindi,initial_lastname_suffix_noise+phonetic_sub,suffix_noise+phonetic_sub,S Dhobi
HOMI BARUCHA,PERSON,male,parsi,upper,original,HOMI BARUCHA
Amina    J,PERSON,female,malayalam,firstname_initial_extra_spaces,extra_spaces,Amina J
Keshwala,PERSON,female,gujarati,lastname_firstname_first_name_only,first_name_only,Keshwala Payal
Jeyashree P,PERSON,female,tamil,firstname_initial,original,Jeyashree P
TriptiS,PERSON,female,hindi,firstname_initial_no_spaces,no_spaces,Tripti S
Pryank P,PERSON,female,kannada,firstname_initial_vowel_drop,vowel_drop,Priyanka P
MRS Ipsita,PERSON,female,bengali,firstname_only_prefix_noise,prefix_noise,Ipsita
LINGAMMA GAURI VIVUTI,PERSON,female,kannada,three_part_upper_phonetic_sub,phonetic_sub,LINGAMMA GAURI VIBHUTI
Chavan   Milind,PERSON,male,marathi,lastname_firstname_extra_spaces,extra_spaces,Chavan Milind
Nagalaksmi Mogli,PERSON,female,telugu,firstname_lastname_char_drop,char_drop,Nagalakshmi Mogili
E Usmani,PERSON,female,muslim,initial_lastname,original,E Usmani
arb***,PERSON,male,northeast,lower_partial_masked,partial_masked,arbin mishing
eugenee oberoi,PERSON,male,christian,lower_char_repeat,char_repeat,eugene oberoi
Banxhi S,PERSON,female,bengali,firstname_initial_char_insert,char_insert,Banhi S
K/Penmetsa,PERSON,female,telugu,initial_lastname_space_replaced,space_replaced,K Penmetsa
VIS DAY BHA,PERSON,male,rajasthani,three_part_upper_abbreviated,abbreviated,VISHNU DAYA BHATT
Mehernosh Madhav Motiwala,PERSON,male,parsi,three_part,original,Mehernosh Madhav Motiwala
Marudevi J,PERSON,female,jain,firstname_initial,original,Marudevi J
U Kodoali,PERSON,female,telugu,initial_lastname_char_insert,char_insert,U Kodali
di gh,PERSON,male,marathi,lower_abbreviated,abbreviated,dilip ghule
Tripti Sinngh,PERSON,female,hindi,firstname_lastname_char_repeat,char_repeat,Tripti Singh
RPIYA GEHLOT,PERSON,female,hindi,upper_typo_swap,typo_swap,PRIYA GEHLOT
Raju Y.,PERSON,male,telugu,firstname_initial_dots_added,dots_added,Raju Y
VISHWANATH-NAYAR,PERSON,male,kannada,upper_space_replaced,space_replaced,VISHWANATH NAYAR
KANHEI RAITA,PERSON,male,odia,upper,original,KANHEI RAITA
Padmanbhan Sajith,PERSON,male,malayalam,lastname_firstname_char_drop,char_drop,Padmanabhan Sajith
yasmink bukhari,PERSON,female,muslim,lower_char_insert,char_insert,yasmin bukhari
Jaba-513,PERSON,female,bengali,firstname_only_suffix_noise,suffix_noise,Jaba
Sindhi oMtilal,PERSON,male,rajasthani,lastname_firstname_typo_swap,typo_swap,Sindhi Motilal
Manchersha M,PERSON,male,parsi,firstname_initial,original,Manchersha M
V K Dat,PERSON,male,marathi,initials_lastname_char_drop,char_drop,V K Date
J K ***,PERSON,male,punjabi,initials_lastname_partial_masked,partial_masked,J K Kohli
Thevar Chandrika,PERSON,female,tamil,lastname_firstname,original,Thevar Chandrika
P DDastoor,PERSON,female,parsi,initial_lastname_char_repeat,char_repeat,P Dastoor
purnima samantaray PYE,PERSON,female,odia,lower_suffix_noise,suffix_noise,purnima samantaray
Amey Velankar,PERSON,male,marathi,firstname_lastname,original,Amey Velankar
Gopabandhu,PERSON,male,odia,firstname_only,original,Gopabandhu
Masooda...,PERSON,female,muslim,firstname_initial_partial_masked,partial_masked,Masooda K
YuktaVerma,PERSON,female,hindi,firstname_lastname_no_spaces,no_spaces,Yukta Verma
ramkali chhipa,PERSON,female,rajasthani,lower,original,ramkali chhipa
