name,label,gender,region,format
R Mahfooz,PERSON,male,muslim,initial_lastname
SUKHA WADHWA,PERSON,male,punjabi,upper
J Shergill,PERSON,male,punjabi,initial_lastname
Z Deboo,PERSON,male,parsi,initial_lastname
H Tantry,PERSON,female,kannada,initial_lastname
I Divakaran,PERSON,female,malayalam,initial_lastname
santhosh sequeira,PERSON,male,kannada,lower
kareem badayuni,PERSON,male,muslim,lower
KANAGAVALLI DEVARAJAN,PERSON,female,tamil,upper
Dkhar Moirangthem,PERSON,female,northeast,lastname_firstname
P Hansda,PERSON,male,odia,initial_lastname
M Chokshi,PERSON,female,gujarati,initial_lastname
Lingaraju M,PERSON,male,kannada,firstname_initial
Dikshit Radhika,PERSON,female,hindi,lastname_firstname
C P Rath,PERSON,male,odia,initials_lastname
RAVIKUMAR KADDI,PERSON,male,kannada,upper
Sau Bibhuti,PERSON,male,bengali,lastname_firstname
Pinninti Mallikarjun,PERSON,male,telugu,lastname_firstname
Kesarimal J,PERSON,male,rajasthani,firstname_initial
Ranganathan Ranjani,PERSON,female,tamil,lastname_firstname
CHINTAN GANDHI,PERSON,male,gujarati,upper
Jangra Chhagan,PERSON,female,rajasthani,lastname_firstname
Puri Resham,PERSON,male,punjabi,lastname_firstname
MALLIKA SOM,PERSON,female,bengali,upper
Deborah C,PERSON,female,christian,firstname_initial
freni erach,PERSON,female,parsi,lower
bincy kurian,PERSON,female,malayalam,lower
Ralph D,PERSON,male,christian,firstname_initial
D L Ponnuswamy,PERSON,male,christian,initials_lastname
Vemulapalli Kanaka,PERSON,female,telugu,lastname_firstname
Koch Subasana,PERSON,female,assamese,lastname_firstname
Putli Choksy,PERSON,female,parsi,firstname_lastname
Chintu M,PERSON,female,hindi,firstname_initial
Babulal,PERSON,male,rajasthani,firstname_only
Karji Supriya,PERSON,female,odia,lastname_firstname
Harpreet K,PERSON,male,punjabi,firstname_initial
BENAIFER BAMJI,PERSON,female,parsi,upper
santosh negi,PERSON,female,rajasthani,lower
Radhika S,PERSON,female,hindi,firstname_initial
I Juyal,PERSON,female,rajasthani,initial_lastname
Swapna K,PERSON,female,kannada,firstname_initial
Todywala Mehroo,PERSON,female,parsi,lastname_firstname
Thotapalli Kusuma,PERSON,female,telugu,lastname_firstname
N Siyag,PERSON,male,jain,initial_lastname
Jafri Athar,PERSON,male,muslim,lastname_firstname
Zainaba,PERSON,female,malayalam,firstname_only
MAGANLAL PANT,PERSON,male,rajasthani,upper
K L Murugesan,PERSON,female,tamil,initials_lastname
S C Adke,PERSON,male,kannada,initials_lastname
Adil Cama,PERSON,male,parsi,firstname_lastname
S Khatua,PERSON,male,odia,initial_lastname
Nazeer,PERSON,male,muslim,firstname_only
H Mishra,PERSON,male,rajasthani,initial_lastname
Nilakshi Premi Maity,PERSON,female,assamese,three_part
Tukaram,PERSON,male,marathi,firstname_only
JITMAL NARAYAN SHEORAN,PERSON,male,jain,three_part_upper
kiranbala bej,PERSON,female,odia,lower
Mishri Mahajan,PERSON,female,rajasthani,firstname_lastname
Dalal Kunj,PERSON,male,gujarati,lastname_firstname
pallabi bastia,PERSON,female,odia,lower
AKSHAY KAMATH,PERSON,male,kannada,upper
PITCHAIAH PRASAD,PERSON,male,telugu,upper
HRISHIKESH GANGULY,PERSON,male,assamese,upper
Lashkari Pervez,PERSON,male,parsi,lastname_firstname
A Elias,PERSON,female,malayalam,initial_lastname
Nirbhay,PERSON,male,gujarati,firstname_only
lariot lyngdoh,PERSON,male,northeast,lower
RAJIV KOTAK,PERSON,male,gujarati,upper
Reshma Chacko,PERSON,female,malayalam,firstname_lastname
Firdausi Gopal Dastoor,PERSON,male,parsi,three_part
B Diwan,PERSON,male,marathi,initial_lastname
Letminthang K,PERSON,male,northeast,firstname_initial
Kalpesh Murari Vasavada,PERSON,male,gujarati,three_part
SADIQ RIZVI,PERSON,male,muslim,upper
Dalal Karunesh,PERSON,male,hindi,lastname_firstname
Dalal Marudevi,PERSON,female,jain,lastname_firstname
T Gunturi,PERSON,male,telugu,initial_lastname
Tolaram Gopal Dedha,PERSON,male,rajasthani,three_part
T Vohra,PERSON,male,christian,initial_lastname
Chitra,PERSON,female,hindi,firstname_only
Kumawat Padma,PERSON,female,hindi,lastname_firstname
Phuritsabam B,PERSON,female,northeast,firstname_initial
P Lahiri,PERSON,male,bengali,initial_lastname
Nahid U,PERSON,male,muslim,firstname_initial
JANNAT ARORA,PERSON,female,hindi,upper
Baldev,PERSON,male,hindi,firstname_only
Krishnaveni Rayapudi,PERSON,female,telugu,firstname_lastname
DEEPA KURIAN,PERSON,female,malayalam,upper
Khambata Hursh,PERSON,female,parsi,lastname_firstname
S Kurup,PERSON,male,malayalam,initial_lastname
Menon Roshni,PERSON,female,malayalam,lastname_firstname
HAZARI BAIRWA,PERSON,male,rajasthani,upper
J Velayudhan,PERSON,female,malayalam,initial_lastname
siju muraleedharan,PERSON,male,malayalam,lower
RAJANI SMRITI DAMODARAN,PERSON,female,malayalam,three_part_upper
Kathleen Naik,PERSON,female,christian,firstname_lastname
A Bheel,PERSON,male,jain,initial_lastname
faredoon madan,PERSON,male,parsi,lower
G Valluri,PERSON,female,telugu,initial_lastname
J Sahota,PERSON,female,punjabi,initial_lastname
Yadav Jairam,PERSON,male,rajasthani,lastname_firstname
PRAMILA SARDAR,PERSON,female,marathi,upper
S Bodo,PERSON,male,northeast,initial_lastname
Kalyanasundaram Thilagavathi,PERSON,female,tamil,lastname_firstname
Khanapur Girish,PERSON,male,kannada,lastname_firstname
SUSANNA UNNIKRISHNAN,PERSON,female,christian,upper
F Marshall,PERSON,female,parsi,initial_lastname
Tongbram Kharkongor,PERSON,female,northeast,firstname_lastname
MARIA UDAYAR,PERSON,female,christian,upper
V Rangi,PERSON,female,hindi,initial_lastname
P G Engineer,PERSON,male,parsi,initials_lastname
Chandana G,PERSON,female,telugu,firstname_initial
K Muthukumar,PERSON,female,tamil,initial_lastname
Madan Dinshaw,PERSON,male,parsi,lastname_firstname
Ibrahim S,PERSON,male,muslim,firstname_initial
sohan jangra,PERSON,male,hindi,lower
Gitanjali B,PERSON,female,assamese,firstname_initial
MARIYAM BAI POTHEN,PERSON,female,malayalam,three_part_upper
Rustam Batliwala,PERSON,male,parsi,firstname_lastname
Hari B,PERSON,male,assamese,firstname_initial
H Saxena,PERSON,female,jain,initial_lastname
Govad Dutt Bharucha,PERSON,male,parsi,three_part
NIDHI YADAV,PERSON,female,gujarati,upper
Mohanty Achyut,PERSON,male,odia,lastname_firstname
Gill Aarav,PERSON,male,hindi,lastname_firstname
R Illahabadi,PERSON,male,muslim,initial_lastname
Parvathy Z,PERSON,female,malayalam,firstname_initial
Nirmala M,PERSON,female,kannada,firstname_initial
Sangeetha,PERSON,female,tamil,firstname_only
Sunanda R,PERSON,female,assamese,firstname_initial
Bagchi Godfrey,PERSON,male,christian,lastname_firstname
Mathuralal,PERSON,male,rajasthani,firstname_only
mirabai moyon,PERSON,female,northeast,lower
Sini Fernandez,PERSON,female,malayalam,firstname_lastname
Biranchi Muduli,PERSON,male,odia,firstname_lastname
Dave Pratik,PERSON,male,gujarati,lastname_firstname
ROHAN DANDEKAR,PERSON,male,marathi,upper
Snigdha Khara,PERSON,female,odia,firstname_lastname
B Gazdar,PERSON,male,parsi,initial_lastname
Ratan Dalal,PERSON,male,parsi,firstname_lastname
Naik Pralay,PERSON,male,bengali,lastname_firstname
S P Kandula,PERSON,female,telugu,initials_lastname
CHHITAR SAINI,PERSON,male,rajasthani,upper
Harpal Chadha,PERSON,female,punjabi,firstname_lastname
Prakash S,PERSON,male,tamil,firstname_initial
Nalawade Somnath,PERSON,male,marathi,lastname_firstname
Jaskiran T,PERSON,female,punjabi,firstname_initial
Izhar F,PERSON,male,muslim,firstname_initial
GOPAN KAIMAL,PERSON,male,malayalam,upper
Yasmin P,PERSON,female,muslim,firstname_initial
annapoorani iyengar,PERSON,female,tamil,lower
Junaid,PERSON,male,muslim,firstname_only
Bharmal U,PERSON,male,jain,firstname_initial
micky vaiphei,PERSON,male,northeast,lower
Goel Mercy,PERSON,female,christian,lastname_firstname
Manickam Natarajan,PERSON,male,tamil,lastname_firstname
Luhar Lata,PERSON,female,gujarati,lastname_firstname
Archana Sivadasan,PERSON,female,malayalam,firstname_lastname
NILESH BAXI,PERSON,male,gujarati,upper
MOTILAL PRAKASH CHHIPA,PERSON,male,rajasthani,three_part_upper
SUBHASH VELANKAR,PERSON,male,marathi,upper
ananta chattopadhyay,PERSON,male,assamese,lower
Jaseem,PERSON,male,malayalam,firstname_only
D Madhani,PERSON,male,gujarati,initial_lastname
Nandana C,PERSON,female,malayalam,firstname_initial
Dhun,PERSON,female,parsi,firstname_only
yellaiah rao,PERSON,male,telugu,lower
Daphne,PERSON,female,christian,firstname_only
Girija Ballal,PERSON,female,kannada,firstname_lastname
K Zou,PERSON,female,northeast,initial_lastname
A Jain,PERSON,female,rajasthani,initial_lastname
Gurmeet Bahadur Kapoor,PERSON,male,punjabi,three_part
G Jaitly,PERSON,female,punjabi,initial_lastname
Quaiser,PERSON,male,muslim,firstname_only
KULWINDER MEHRA,PERSON,male,punjabi,upper
L Rawaliya,PERSON,male,rajasthani,initial_lastname
Satyanarayan Raika,PERSON,male,rajasthani,firstname_lastname
Mohua S,PERSON,female,bengali,firstname_initial
Hina,PERSON,female,gujarati,firstname_only
PERCY CHAUHAN,PERSON,male,christian,upper
Kashmiri Naghma,PERSON,female,muslim,lastname_firstname
Iyer Arun,PERSON,male,malayalam,lastname_firstname
Nathu K,PERSON,male,rajasthani,firstname_initial
Singpho Kumari,PERSON,female,northeast,lastname_firstname
Leena Sing,PERSON,female,bengali,firstname_lastname
Puttamma Kini,PERSON,female,kannada,firstname_lastname
sumathi lakkundi,PERSON,female,kannada,lower
Kumawat Sundarlal,PERSON,male,jain,lastname_firstname
R Potti,PERSON,female,malayalam,initial_lastname
Durgashankar M,PERSON,male,rajasthani,firstname_initial
Ramswaroop A,PERSON,male,hindi,firstname_initial
SANDHYARANI KHATUA,PERSON,female,odia,upper
soma meitei,PERSON,female,assamese,lower
Rajani Bhagwat,PERSON,female,marathi,firstname_lastname
Puja B,PERSON,female,assamese,firstname_initial
Usha D,PERSON,female,odia,firstname_initial
A S Channabasappa,PERSON,female,kannada,initials_lastname
Hmar Lakshminath,PERSON,male,assamese,lastname_firstname
jayalalitha vemula,PERSON,female,telugu,lower
H Gajjar,PERSON,female,jain,initial_lastname
ANGANA PAL,PERSON,female,bengali,upper
H Thaker,PERSON,female,gujarati,initial_lastname
Sanghvi P,PERSON,male,jain,firstname_initial
Bhutia Jewel,PERSON,male,northeast,lastname_firstname
Bhagwati Tiwari,PERSON,female,rajasthani,firstname_lastname
Rishabh B,PERSON,male,jain,firstname_initial
Tiwa Bobita,PERSON,female,northeast,lastname_firstname
Rosalind D,PERSON,female,christian,firstname_initial
Saroj B,PERSON,female,rajasthani,firstname_initial
Manjot G,PERSON,female,punjabi,firstname_initial
Swati B,PERSON,female,marathi,firstname_initial
LIPIKA BHATTACHARYA,PERSON,female,assamese,upper
diganta roy,PERSON,male,assamese,lower
N Kansara,PERSON,female,gujarati,initial_lastname
S Rizvi,PERSON,male,muslim,initial_lastname
Kashif A,PERSON,male,muslim,firstname_initial
Jayashree A,PERSON,female,assamese,firstname_initial
deva selvaraj,PERSON,male,tamil,lower
Puttamma Pai,PERSON,female,kannada,firstname_lastname
bhawani kimothi,PERSON,male,rajasthani,lower
B Khangura,PERSON,male,punjabi,initial_lastname
SURENDRAN JAYARAMAN,PERSON,male,tamil,upper
Shakuntala Kumari Suna,PERSON,female,odia,three_part
Parameswaran Emily,PERSON,female,christian,lastname_firstname
Xerxes,PERSON,male,parsi,firstname_only
N Naqvi,PERSON,male,muslim,initial_lastname
Jyoti V,PERSON,female,gujarati,firstname_initial
rohini raju,PERSON,female,telugu,lower
Giri Bibekananda,PERSON,male,odia,lastname_firstname
Ramkali D,PERSON,female,rajasthani,firstname_initial
Puran A,PERSON,male,hindi,firstname_initial
Parida Harihar,PERSON,male,odia,lastname_firstname
S Darji,PERSON,male,hindi,initial_lastname
INBARAJ THIRUNAVUKKARASU,PERSON,male,tamil,upper
vimla solanki,PERSON,female,rajasthani,lower
L Thakor,PERSON,female,gujarati,initial_lastname
Siddharta Murmu,PERSON,male,bengali,firstname_lastname
S Deo,PERSON,male,odia,initial_lastname
BERTHA DOBHAL,PERSON,female,christian,upper
Routray Niranjan,PERSON,male,odia,lastname_firstname
Zakia Maududi,PERSON,female,muslim,firstname_lastname
J Prabhu,PERSON,male,kannada,initial_lastname
Shaoli Sing,PERSON,female,bengali,firstname_lastname
faizal fernandez,PERSON,male,malayalam,lower
Ujwala T,PERSON,female,marathi,firstname_initial
Nirupama G,PERSON,female,jain,firstname_initial
Anitha H,PERSON,female,kannada,firstname_initial
S M Kazmi,PERSON,male,muslim,initials_lastname
Santhosh,PERSON,male,tamil,firstname_only
Gireesh Pillai,PERSON,male,malayalam,firstname_lastname
Zala Pallavi,PERSON,female,gujarati,lastname_firstname
VEERPAL DHINGRA,PERSON,female,punjabi,upper
Zubaida Roy,PERSON,female,malayalam,firstname_lastname
S Dash,PERSON,male,odia,initial_lastname
UDDHAV PANDIT,PERSON,male,marathi,upper
Arjun Pelia,PERSON,male,punjabi,firstname_lastname
VARALAKSHMI KANCHARLA,PERSON,female,telugu,upper
C Khiangte,PERSON,male,assamese,initial_lastname
Pidugu Tulasi,PERSON,female,telugu,lastname_firstname
Mohanan Seema,PERSON,female,malayalam,lastname_firstname
Raju Prakash Sanyal,PERSON,male,assamese,three_part
Latha John,PERSON,female,malayalam,firstname_lastname
Ganapathy Namasivayam,PERSON,male,tamil,lastname_firstname
vasantben prakash,PERSON,female,jain,lower
Vernon S,PERSON,male,christian,firstname_initial
Gurbani,PERSON,female,punjabi,firstname_only
Namonarayan L,PERSON,male,jain,firstname_initial
Gopakumar N,PERSON,male,malayalam,firstname_initial
A Salvi,PERSON,female,hindi,initial_lastname
Donbok Tangkhul,PERSON,male,northeast,firstname_lastname
Durgadevi S,PERSON,female,tamil,firstname_initial
Divya,PERSON,female,hindi,firstname_only
Lamkang Lovlina,PERSON,female,northeast,lastname_firstname
viswanath oruganti,PERSON,male,telugu,lower
Harikumar Clara,PERSON,female,christian,lastname_firstname
D Kanani,PERSON,male,gujarati,initial_lastname
Pramila S,PERSON,female,odia,firstname_initial
Martha O,PERSON,female,christian,firstname_initial
Badri,PERSON,female,rajasthani,firstname_only
N Bisla,PERSON,male,rajasthani,initial_lastname
Shafia Kanti Ali,PERSON,female,muslim,three_part
C Bhimasena,PERSON,male,telugu,initial_lastname
Framroze Tata,PERSON,male,parsi,firstname_lastname
MUNIRA HAIDER,PERSON,female,muslim,upper
B Sasmal,PERSON,male,bengali,initial_lastname
Bhat Sharadamma,PERSON,female,kannada,lastname_firstname
Gurdas P,PERSON,male,punjabi,firstname_initial
Palaparthi Radhakrishna,PERSON,male,telugu,lastname_firstname
Ishaan Singh,PERSON,male,hindi,firstname_lastname
T Chippa,PERSON,female,rajasthani,initial_lastname
Imoba D,PERSON,male,northeast,firstname_initial
Krishna Praneeth,PERSON,male,telugu,lastname_firstname
POMPA RAHA,PERSON,female,bengali,upper
Lydia K,PERSON,female,christian,firstname_initial
Howard Sasmal,PERSON,male,christian,firstname_lastname
Arunima,PERSON,female,odia,firstname_only
MEHELLI SUNTOOK,PERSON,male,parsi,upper
Yashodhara,PERSON,female,jain,firstname_only
Atokha L,PERSON,male,northeast,firstname_initial
Padmini C,PERSON,female,jain,firstname_initial
S Sing,PERSON,male,bengali,initial_lastname
Krushna D,PERSON,male,odia,firstname_initial
Karnail D,PERSON,male,punjabi,firstname_initial
Rahman M,PERSON,male,muslim,firstname_initial
SHABBIR MALIK,PERSON,male,muslim,upper
Nusli Driver,PERSON,male,parsi,firstname_lastname
Rasheed G,PERSON,male,malayalam,firstname_initial
Pundlik Guddu Ubale,PERSON,male,marathi,three_part
Najma B,PERSON,female,muslim,firstname_initial
Dkhar Bijayashree,PERSON,female,assamese,lastname_firstname
Rongmon,PERSON,male,assamese,firstname_only
Saha Arindam,PERSON,male,bengali,lastname_firstname
dingko rengma,PERSON,male,northeast,lower
KAMALJIT SANDHU,PERSON,female,punjabi,upper
Rani,PERSON,female,telugu,firstname_only
A Reddy,PERSON,female,kannada,initial_lastname
Tailor Omesh,PERSON,male,gujarati,lastname_firstname
hiranmayi bisoi,PERSON,female,odia,lower
Baljinder Virk,PERSON,female,punjabi,firstname_lastname
NATHMAL IYER,PERSON,male,jain,upper
P Ranganathan,PERSON,male,tamil,initial_lastname
NUSLI KERAWALA,PERSON,male,parsi,upper
SARITA BARAI,PERSON,female,hindi,upper
Narang Kirpal,PERSON,male,punjabi,lastname_firstname
manisha goswami,PERSON,female,bengali,lower
Agatha K,PERSON,female,christian,firstname_initial
Thilagavathi,PERSON,female,tamil,firstname_only
I Phom,PERSON,female,northeast,initial_lastname
SAPNA VISHWAKARMA,PERSON,female,hindi,upper
L Baidya,PERSON,male,christian,initial_lastname
Prabhu Uma,PERSON,female,kannada,lastname_firstname
Mistry Varsha,PERSON,female,gujarati,lastname_firstname
L Azmi,PERSON,female,muslim,initial_lastname
NALINI NAYAK,PERSON,female,kannada,upper
Chipa Liladhar,PERSON,male,jain,lastname_firstname
Y Jakhar,PERSON,male,hindi,initial_lastname
Dilshad Warsi,PERSON,female,muslim,firstname_lastname
Randhawa Satnam,PERSON,female,punjabi,lastname_firstname
Gertrude,PERSON,female,christian,firstname_only
Rupal P,PERSON,female,gujarati,firstname_initial
M Lakhnavi,PERSON,male,muslim,initial_lastname
Dhirajlal Kulshreshtha,PERSON,male,jain,firstname_lastname
lata brahmbhatt,PERSON,female,gujarati,lower
Wali Ambika,PERSON,female,kannada,lastname_firstname
Behram Dalal,PERSON,male,parsi,firstname_lastname
Hooda Parasmal,PERSON,male,jain,lastname_firstname
S Kataria,PERSON,male,christian,initial_lastname
BIJU IDICULA,PERSON,male,malayalam,upper
Eksha,PERSON,female,hindi,firstname_only
Komalpreet M,PERSON,female,punjabi,firstname_initial
Anisa A,PERSON,female,muslim,firstname_initial
Kahar Yatin,PERSON,male,hindi,lastname_firstname
A Muraleedharan,PERSON,female,malayalam,initial_lastname
V Kakani,PERSON,male,telugu,initial_lastname
dilpreet ahluwalia,PERSON,female,punjabi,lower
G H Nagarajan,PERSON,male,tamil,initials_lastname
Ghatotkacha G,PERSON,male,northeast,firstname_initial
Nithyanandan Kalyanasundaram,PERSON,male,tamil,firstname_lastname
Atmanand L,PERSON,male,jain,firstname_initial
Veera K,PERSON,female,parsi,firstname_initial
A Raja,PERSON,male,tamil,initial_lastname
PHURITSABAM BORO,PERSON,female,northeast,upper
Nanjunda Adiga,PERSON,male,kannada,firstname_lastname
C Muthukumar,PERSON,female,tamil,initial_lastname
Rini Mala Krishnakumar,PERSON,female,malayalam,three_part
R Subramaniam,PERSON,male,christian,initial_lastname
amiya deo,PERSON,male,odia,lower
Loganathan Palanivel,PERSON,male,tamil,lastname_firstname
Taneja Lucy,PERSON,female,christian,lastname_firstname
JAGJEET MADAN,PERSON,male,punjabi,upper
Ghaznavi Suhana,PERSON,female,muslim,lastname_firstname
yasmin gazdar,PERSON,female,parsi,lower
F L Jawanda,PERSON,male,punjabi,initials_lastname
tabassum islahi,PERSON,female,muslim,lower
Mahalakshmi Arunachalam,PERSON,female,tamil,firstname_lastname
K Malik,PERSON,female,rajasthani,initial_lastname
Karunaben Gadri,PERSON,female,jain,firstname_lastname
Siddiqui Anwar,PERSON,male,muslim,lastname_firstname
P Vankar,PERSON,female,hindi,initial_lastname
S Rathore,PERSON,male,rajasthani,initial_lastname
SUMANT DABHI,PERSON,male,gujarati,upper
Madhu C,PERSON,female,gujarati,firstname_initial
Yamuna K,PERSON,female,malayalam,firstname_initial
Agustin,PERSON,male,christian,firstname_only
Indira Jog,PERSON,female,marathi,firstname_lastname
NATHU KUNWAR,PERSON,male,rajasthani,upper
Zainaba D,PERSON,female,malayalam,firstname_initial
madhusudan valluri,PERSON,male,telugu,lower
Tripathi Phooli,PERSON,female,rajasthani,lastname_firstname
Shrawan,PERSON,male,rajasthani,firstname_only
PRANALI BAPAT,PERSON,female,marathi,upper
Sohagi D,PERSON,female,bengali,firstname_initial
Rajagopalan Bindu,PERSON,female,malayalam,lastname_firstname
Purva Bhide,PERSON,female,marathi,firstname_lastname
Srimanta S,PERSON,male,assamese,firstname_initial
annapurna prabhu,PERSON,female,kannada,lower
Indira,PERSON,female,tamil,firstname_only
S V Syed,PERSON,female,muslim,initials_lastname
lewis ramachandran,PERSON,male,christian,lower
Boby Anand Ninan,PERSON,male,malayalam,three_part
Karri Jyothirmayi,PERSON,male,telugu,lastname_firstname
R Govindan,PERSON,male,malayalam,initial_lastname
MARTHA BERWAL,PERSON,female,christian,upper
ASHOK VEMPATI,PERSON,male,telugu,upper
