name,label,category,source,augmentation
Anil Stationery,MERCHANT,stationery,local_pattern,original
Cit Her Bea,MERCHANT,salon,local_pattern,augmented
UPI-Thakur Departmental Store,MERCHANT,local_shop,local_pattern,augmented
aRhul Coaching Classes,MERCHANT,education,local_pattern,augmented
Gill_Kennel,MERCHANT,local_shop,local_pattern,augmented
Chauhan Flower Hub,MERCHANT,local_shop,desi_pattern,original
IMPS-Yogesh Ironing,MERCHANT,local_shop,local_pattern,augmented
Faiz Tyre House,MERCHANT,auto,local_pattern,original
Bed Tou,MERCHANT,travel,local_pattern,augmented
Randhawa  Compny,MERCHANT,local_shop,local_pattern,augmented
NEFT-Pandit Furnishing,MERCHANT,furniture,local_pattern,augmented
Pintu Grocery Stoer,MERCHANT,local_shop,local_pattern,augmented
Bedi Xerox...,MERCHANT,stationery,local_pattern,augmented
BalajiRestaurant,MERCHANT,restaurant,local_pattern,augmented
Rakesh Cargo,MERCHANT,travel,local_pattern,original
Adarsh Institu.,MERCHANT,education,local_pattern,augmented
Standard Cla.,MERCHANT,education,local_pattern,augmented
Tayyab Super..,MERCHANT,local_shop,local_pattern,augmented
Ma Saraswati Hair Sudio,MERCHANT,salon,local_pattern,augmented
Thakur Fod Pont,MERCHANT,restaurant,local_pattern,augmented
Vijay Unissex Salon,MERCHANT,salon,local_pattern,augmented
Mohit Clinic,MERCHANT,medical,local_pattern,original
Chaturvedi Tandoori Wale,MERCHANT,local_shop,desi_pattern,original
Rahul Furnishign,MERCHANT,furniture,local_pattern,augmented
Bhia Stationers,MERCHANT,stationery,local_pattern,augmented
Jain Building Material,MERCHANT,hardware,local_pattern,original
Gurdwara.Furniture.House,MERCHANT,furniture,local_pattern,augmented
Legacy J...,MERCHANT,jewellery,local_pattern,augmented
Rahul SSupermarket,MERCHANT,local_shop,local_pattern,augmented
OldServiceStation442,MERCHANT,fuel,local_pattern,augmented
PProgress Stationery,MERCHANT,stationery,local_pattern,augmented
Her Sup Mar,MERCHANT,local_shop,local_pattern,augmented
Budh Soilver House,MERCHANT,jewellery,local_pattern,augmented
Gaur Drug Hous,MERCHANT,medical,local_pattern,augmented
MalhotraGoldHouse,MERCHANT,jewellery,local_pattern,augmented
UPI/Nana Gold & Silver,MERCHANT,jewellery,local_pattern,augmented
Dhlilon Jewellery,MERCHANT,jewellery,local_pattern,augmented
DattatreyaBiryaniCorner,MERCHANT,restaurant,local_pattern,augmented
Rawat Xerox,MERCHANT,stationery,local_pattern,original
Tau Printing Press,MERCHANT,stationery,local_pattern,original
Rakseh Courier Service,MERCHANT,travel,local_pattern,augmented
Khan   Timber,MERCHANT,hardware,local_pattern,augmented
Qreshi Kiraa,MERCHANT,local_shop,local_pattern,augmented
Sabka Prining Pres,MERCHANT,stationery,local_pattern,augmented
Banerj..,MERCHANT,travel,local_pattern,augmented
Shri Ram Educational,MERCHANT,education,local_pattern,original
Pant General Store,MERCHANT,local_shop,local_pattern,original
Babu Ornametns,MERCHANT,jewellery,local_pattern,augmented
Tiwair Ka Store,MERCHANT,local_shop,desi_pattern,augmented
Express LPG Gas,MERCHANT,fuel,local_pattern,original
Khurana/Chemist,MERCHANT,medical,local_pattern,augmented
MetroClinic,MERCHANT,medical,local_pattern,augmented
Parekh Mithai Hub,MERCHANT,local_shop,desi_pattern,original
Negi Samosa Zone GEU,MERCHANT,local_shop,desi_pattern,augmented
IMPS-Subramanian CA Firm,MERCHANT,professional,local_pattern,augmented
Sheikh Steel,MERCHANT,hardware,local_pattern,original
Pooja Stores,MERCHANT,local_shop,local_pattern,original
UPI/Sunshine Centre,MERCHANT,local_shop,local_pattern,augmented
Brahma Sare Emporum,MERCHANT,clothing,local_pattern,augmented
Old CNG Station,MERCHANT,fuel,local_pattern,original
Kamath Diamond,MERCHANT,jewellery,local_pattern,original
Mirza  Service  Centre,MERCHANT,auto,local_pattern,augmented
Das Wach Palae,MERCHANT,local_shop,desi_pattern,augmented
Per Pai Hou,MERCHANT,hardware,local_pattern,augmented
Swami Steel-4478,MERCHANT,hardware,local_pattern,augmented
Grewal   Food   Point,MERCHANT,restaurant,local_pattern,augmented
Sri Health Centre/37,MERCHANT,medical,local_pattern,augmented
Das  Sofa  House,MERCHANT,furniture,local_pattern,augmented
Rastqogi Grocery,MERCHANT,local_shop,local_pattern,augmented
GrandElectricals,MERCHANT,hardware,local_pattern,augmented
Ds Ply  Hardware,MERCHANT,hardware,local_pattern,augmented
Sabka AC Service,MERCHANT,electronics,local_pattern,original
Yadav Legal Services,MERCHANT,professional,local_pattern,original
HajiInstitute,MERCHANT,education,local_pattern,augmented
Da Tr,MERCHANT,local_shop,local_pattern,augmented
Rastoig Vastra Bhandar,MERCHANT,clothing,local_pattern,augmented
Madina V...,MERCHANT,restaurant,local_pattern,augmented
Tri Dig,MERCHANT,electronics,local_pattern,augmented
Naidu Super..,MERCHANT,local_shop,local_pattern,augmented
Khalsa  Cement  Store,MERCHANT,hardware,local_pattern,augmented
Neyha LPG Gas,MERCHANT,fuel,local_pattern,augmented
Chandra Logistics-580,MERCHANT,travel,local_pattern,augmented
Priya Services/86,MERCHANT,local_shop,local_pattern,augmented
AlNoorLegalServices,MERCHANT,professional,local_pattern,augmented
Profgress Spa,MERCHANT,salon,local_pattern,augmented
Doshi CNG Staio,MERCHANT,fuel,local_pattern,augmented
Kamla Ironing,MERCHANT,local_shop,local_pattern,original
Nana Dry Clean,MERCHANT,local_shop,local_pattern,augmented
TirangaGoldHouse,MERCHANT,jewellery,local_pattern,augmented
Fi Pe Pu,MERCHANT,fuel,local_pattern,augmented
Deshmukh Mobile Zoone,MERCHANT,local_shop,desi_pattern,augmented
Kal..,MERCHANT,furniture,local_pattern,augmented
Shri Hari Motor Parts,MERCHANT,auto,local_pattern,original
Lalji.Travels,MERCHANT,travel,local_pattern,augmented
Oven_Story_Pizza,MERCHANT,food_delivery,real_brand,augmented
Vishnu Spare Parts830,MERCHANT,auto,local_pattern,augmented
Khan Kicthen,MERCHANT,restaurant,local_pattern,augmented
Kale Provision Store,MERCHANT,local_shop,local_pattern,original
Anil Tech,MERCHANT,electronics,local_pattern,original
Radha Ba..,MERCHANT,restaurant,local_pattern,augmented
Chhtou Mattress,MERCHANT,furniture,local_pattern,augmented
Bhat Opti,MERCHANT,local_shop,local_pattern,augmented
Shankar Har..,MERCHANT,hardware,local_pattern,augmented
Balaji Home eco,MERCHANT,furniture,local_pattern,augmented
Chamunda Super,MERCHANT,local_shop,local_pattern,augmented
Modi Yga Cenre,MERCHANT,local_shop,local_pattern,augmented
Qureshi Makeover Studio,MERCHANT,salon,local_pattern,original
Jai Lakshmi Paint Hosue,MERCHANT,hardware,local_pattern,augmented
Best Desigbn Studio,MERCHANT,professional,local_pattern,augmented
Modi Plumbing,MERCHANT,hardware,local_pattern,original
More Boutique,MERCHANT,clothing,local_pattern,original
Gandhi Diagnostics,MERCHANT,medical,local_pattern,original
Div & Co,MERCHANT,professional,local_pattern,augmented
Ideal Readymade Garments,MERCHANT,clothing,local_pattern,original
Khan Ka Shop,MERCHANT,local_shop,desi_pattern,original
Lala LPG aGs,MERCHANT,fuel,local_pattern,augmented
Gloal Peroleum,MERCHANT,fuel,local_pattern,augmented
JadejaBuildingMaterial,MERCHANT,hardware,local_pattern,augmented
UPI/Bhatt Ka Store,MERCHANT,local_shop,desi_pattern,augmented
Babu   Hardware   Store,MERCHANT,hardware,local_pattern,augmented
Kamla & Associates,MERCHANT,professional,local_pattern,original
Rekha Ki Dukan,MERCHANT,local_shop,desi_pattern,original
Sata Silk Hous,MERCHANT,clothing,local_pattern,augmented
Speed Gold & Si...,MERCHANT,jewellery,local_pattern,augmented
Vaishno/Beauty/Salon,MERCHANT,salon,local_pattern,augmented
Ve Sc,MERCHANT,education,local_pattern,augmented
Kumar.Juta.Hub,MERCHANT,local_shop,desi_pattern,augmented
Bajwa  Dental  Clinic,MERCHANT,medical,local_pattern,augmented
Kal Pai,MERCHANT,hardware,local_pattern,augmented
Shroff Sanitary,MERCHANT,hardware,local_pattern,original
Depa Gadgets,MERCHANT,electronics,local_pattern,augmented
Imperial Comptuers,MERCHANT,electronics,local_pattern,augmented
Geeta.Confectionery,MERCHANT,restaurant,local_pattern,augmented
Jai Shiv Publ Scho,MERCHANT,education,local_pattern,augmented
Patel Fruit King,MERCHANT,local_shop,desi_pattern,original
ShriSaiPublicSchool,MERCHANT,education,local_pattern,augmented
Classic dManufacturing,MERCHANT,local_shop,local_pattern,augmented
Cen Cen,MERCHANT,local_shop,local_pattern,augmented
Qureshi Enterpdrise,MERCHANT,local_shop,local_pattern,augmented
Hashmi/Herbal/Beauty,MERCHANT,salon,local_pattern,augmented
Jain Readymade Garments,MERCHANT,clothing,local_pattern,original
Laptop King,MERCHANT,local_shop,desi_pattern,original
Flower/Corner,MERCHANT,local_shop,desi_pattern,augmented
PAY-Eco Ayurvedic,MERCHANT,medical,local_pattern,augmented
Vishnu Saree H,MERCHANT,clothing,local_pattern,augmented
Malhotra Ka Store,MERCHANT,local_shop,desi_pattern,original
Mangal Vidyalaya,MERCHANT,education,local_pattern,original
Mailk Stationers,MERCHANT,stationery,local_pattern,augmented
Kale Public School YIZ,MERCHANT,education,local_pattern,augmented
Saxe Frui Wale,MERCHANT,local_shop,desi_pattern,augmented
Papp Cour,MERCHANT,travel,local_pattern,augmented
Babu Timber,MERCHANT,hardware,local_pattern,original
Crystal Coachring Classes,MERCHANT,education,local_pattern,augmented
PAY-Negi Express,MERCHANT,travel,local_pattern,augmented
Mangal Mini Mart,MERCHANT,local_shop,local_pattern,original
Chacha.Diagnostics,MERCHANT,medical,local_pattern,augmented
Dut Sil Hou,MERCHANT,clothing,local_pattern,augmented
Geeta LPG Gas,MERCHANT,fuel,local_pattern,original
Baba-Dress-Material,MERCHANT,clothing,local_pattern,augmented
Exp***,MERCHANT,local_shop,local_pattern,augmented
Emerald Tailor,MERCHANT,clothing,local_pattern,original
Budget Agency,MERCHANT,local_shop,local_pattern,original
Mangal Refrig,MERCHANT,electronics,local_pattern,augmented
Jay School,MERCHANT,education,local_pattern,original
E- Fuel Station,MERCHANT,fuel,local_pattern,original
Bajrang Gas Agenyc,MERCHANT,fuel,local_pattern,augmented
Priya S..,MERCHANT,salon,local_pattern,augmented
Shiv qAuarium,MERCHANT,local_shop,local_pattern,augmented
PinkClasses,MERCHANT,education,local_pattern,augmented
Adarsh Confectionery,MERCHANT,restaurant,local_pattern,original
Vijay Chaat Wale672,MERCHANT,local_shop,desi_pattern,augmented
Vaishno Hairi Cutting,MERCHANT,salon,local_pattern,augmented
AlAmeenRestaurant,MERCHANT,restaurant,local_pattern,augmented
Anjali Public School,MERCHANT,education,local_pattern,original
Saxena Chartered Accountants-0424,MERCHANT,professional,local_pattern,augmented
Hamara Grocery,MERCHANT,local_shop,local_pattern,original
Succs Cargo,MERCHANT,travel,local_pattern,augmented
Radha Tech-760,MERCHANT,electronics,local_pattern,augmented
Thorat Sweets,MERCHANT,restaurant,local_pattern,original
Verma  Juice  Palace,MERCHANT,local_shop,desi_pattern,augmented
Slec Interior,MERCHANT,professional,local_pattern,augmented
Chhotuu Stationery,MERCHANT,stationery,local_pattern,augmented
Meg Furnitur,MERCHANT,furniture,local_pattern,augmented
Venkateswara-Jewellery,MERCHANT,jewellery,local_pattern,augmented
Mukherjee_Surgical,MERCHANT,medical,local_pattern,augmented
Ram   Supermarket,MERCHANT,local_shop,local_pattern,augmented
Chacha Surgical,MERCHANT,medical,local_pattern,original
Dinesh Centre-8046,MERCHANT,local_shop,local_pattern,augmented
Chintu Couurier,MERCHANT,travel,local_pattern,augmented
Thakur Tuiiton Centre,MERCHANT,education,local_pattern,augmented
Chhotu Silk House,MERCHANT,clothing,local_pattern,original
Vishnu Digital,MERCHANT,electronics,local_pattern,original
Patel IT Solutions,MERCHANT,electronics,local_pattern,original
Hamarai Auto,MERCHANT,auto,local_pattern,augmented
Shiyrdi Sai Departmental Store,MERCHANT,local_shop,local_pattern,augmented
Mega Cycl Stor,MERCHANT,auto,local_pattern,augmented
Nai Sta,MERCHANT,stationery,local_pattern,augmented
Tushar Educational,MERCHANT,education,local_pattern,original
Mangal Medica,MERCHANT,medical,local_pattern,augmented
Neha Computers,MERCHANT,electronics,local_pattern,original
Mbodern General Store,MERCHANT,local_shop,local_pattern,augmented
Ram Diagnostics,MERCHANT,medical,local_pattern,original
Niar Classes,MERCHANT,education,local_pattern,augmented
aka roning,MERCHANT,local_shop,local_pattern,augmented
Dhillon  Solutions,MERCHANT,professional,local_pattern,augmented
BishtMess,MERCHANT,restaurant,local_pattern,augmented
Lalji Beauty Parlour-564,MERCHANT,salon,local_pattern,augmented
Asok Provision Stor,MERCHANT,local_shop,local_pattern,augmented
iht Saree Emporium,MERCHANT,clothing,local_pattern,augmented
Al Huda Daily Needs,MERCHANT,local_shop,local_pattern,original
ShindeKitchen,MERCHANT,restaurant,local_pattern,augmented
Cheema Cement Store,MERCHANT,hardware,local_pattern,original
Parekh Eye Clinic,MERCHANT,medical,local_pattern,original
Bl Tr,MERCHANT,travel,local_pattern,augmented
Behera Photo Lab,MERCHANT,stationery,local_pattern,original
oJshi Computers,MERCHANT,electronics,local_pattern,augmented
Al Madina Petrol Pump WYG,MERCHANT,fuel,local_pattern,augmented
Jai Mata Di Medical S,MERCHANT,medical,local_pattern,augmented
SharmaHotel,MERCHANT,restaurant,local_pattern,augmented
Sigh Eye Cinic,MERCHANT,medical,local_pattern,augmented
pAna Gift Shop,MERCHANT,local_shop,local_pattern,augmented
uQreshi Ki Dukan,MERCHANT,local_shop,desi_pattern,augmented
Gupta Manufacturing,MERCHANT,local_shop,local_pattern,original
Jaeja TV Repir,MERCHANT,electronics,local_pattern,augmented
UPI-Accha Silver House,MERCHANT,jewellery,local_pattern,augmented
Red Herbal Baeuty,MERCHANT,salon,local_pattern,augmented
Kamble Auto A,MERCHANT,auto,local_pattern,augmented
hSiv Petrol Pump,MERCHANT,fuel,local_pattern,augmented
Solanki   Health   Centre,MERCHANT,medical,local_pattern,augmented
Gaurav Paint House,MERCHANT,hardware,local_pattern,original
Trust Nursing,MERCHANT,medical,local_pattern,augmented
Dubey Fuel Station671,MERCHANT,fuel,local_pattern,augmented
Metro   Tax   Consultant,MERCHANT,professional,local_pattern,augmented
Slalam Hardware,MERCHANT,hardware,local_pattern,augmented
Idea Auto,MERCHANT,auto,local_pattern,augmented
Yadav Golgappa Wlae,MERCHANT,local_shop,desi_pattern,augmented
Sunrise Sweet House,MERCHANT,restaurant,local_pattern,original
Mondal nIteriors,MERCHANT,furniture,local_pattern,augmented
Haji_Kitchen,MERCHANT,furniture,local_pattern,augmented
Chice Learning Cntre,MERCHANT,education,local_pattern,augmented
Moomos King,MERCHANT,restaurant,real_brand,augmented
i-   Mini   Mart/60,MERCHANT,local_shop,local_pattern,augmented
Meea Dooh Wala,MERCHANT,local_shop,desi_pattern,augmented
Sachin Salon,MERCHANT,salon,local_pattern,original
Pathan Printing Press,MERCHANT,stationery,local_pattern,original
Mirza Express,MERCHANT,travel,local_pattern,original
Al Fatah Dagnosics,MERCHANT,medical,local_pattern,augmented
Tushar eath Centre,MERCHANT,medical,local_pattern,augmented
Dattatreyya Traders,MERCHANT,local_shop,local_pattern,augmented
ChhotuCementStore,MERCHANT,hardware,local_pattern,augmented
IMPS-More Services,MERCHANT,local_shop,local_pattern,augmented
Digital Courier Service,MERCHANT,travel,local_pattern,original
Golden Readymade Garments,MERCHANT,clothing,local_pattern,original
Vitthalw Courier,MERCHANT,travel,local_pattern,augmented
Gaurav Printing Press,MERCHANT,stationery,local_pattern,original
GreenCommunication,MERCHANT,electronics,local_pattern,augmented
Gan..,MERCHANT,auto,local_pattern,augmented
Toit,MERCHANT,restaurant,real_brand,original
Pizza oWrld,MERCHANT,local_shop,desi_pattern,augmented
Blue Transp.,MERCHANT,travel,local_pattern,augmented
Guddu Herbal Beauty/57,MERCHANT,salon,local_pattern,augmented
Ammaji   Electronics,MERCHANT,electronics,local_pattern,augmented
Sahoo Refrigeration,MERCHANT,electronics,local_pattern,original
Om Ey Clnic,MERCHANT,medical,local_pattern,augmented
Subrmanan CA Firm,MERCHANT,professional,local_pattern,augmented
GopalHerbalBeauty,MERCHANT,salon,local_pattern,augmented
Shankar Jewel,MERCHANT,jewellery,local_pattern,augmented
Fortune Private Limited,MERCHANT,local_shop,local_pattern,original
Diamond_Law_Firm,MERCHANT,professional,local_pattern,augmented
Digital Medical,MERCHANT,medical,local_pattern,augmented
Bhavani Min..,MERCHANT,local_shop,local_pattern,augmented
Thorat Travels,MERCHANT,travel,local_pattern,original
Khan Mobie Shp,MERCHANT,electronics,local_pattern,augmented
Shankar Kirana Store,MERCHANT,local_shop,local_pattern,original
Murli Couurier,MERCHANT,travel,local_pattern,augmented
Babga Digital,MERCHANT,electronics,local_pattern,augmented
Pioneer Coachin...,MERCHANT,education,local_pattern,augmented
Yad Yog Cen,MERCHANT,local_shop,local_pattern,augmented
Rinku-Furniture,MERCHANT,furniture,local_pattern,augmented
Bhosale  Solutions,MERCHANT,professional,local_pattern,augmented
P2P-Randhawa Mart,MERCHANT,local_shop,local_pattern,augmented
Desh Groc,MERCHANT,local_shop,local_pattern,augmented
Al-Noor-Book-Hous..,MERCHANT,stationery,local_pattern,augmented
Jain Car Wash/54,MERCHANT,auto,local_pattern,augmented
Ashok Fashion-1914,MERCHANT,clothing,local_pattern,augmented
Bose Computers,MERCHANT,electronics,local_pattern,original
BAjraNG iRONIng-109,MERCHANT,local_shop,local_pattern,augmented
Bajwa  Hospital,MERCHANT,medical,local_pattern,augmented
Pink Cacing,MERCHANT,education,local_pattern,augmented
UPI/Subham Learning Centre,MERCHANT,education,local_pattern,augmented
ancient.sAreE.cEntre,MERCHANT,clothing,local_pattern,augmented
Big  Chemist,MERCHANT,medical,local_pattern,augmented
Shroff Ka Sto,MERCHANT,local_shop,desi_pattern,augmented
Anand Fabrics,MERCHANT,clothing,local_pattern,original
phOOl PaLCae,MERCHANT,local_shop,desi_pattern,augmented
Mohit Petrol PPump,MERCHANT,fuel,local_pattern,augmented
SaiRamGadgets,MERCHANT,electronics,local_pattern,augmented
Soni-Barber-Shop,MERCHANT,salon,local_pattern,augmented
Thakur-Chartered-Accountants,MERCHANT,professional,local_pattern,augmented
Jadeja ...,MERCHANT,restaurant,local_pattern,augmented
Kri...,MERCHANT,restaurant,local_pattern,augmented
RadheyFurnishing,MERCHANT,furniture,local_pattern,augmented
Standard Textifles,MERCHANT,clothing,local_pattern,augmented
Tandon & Associates-989,MERCHANT,professional,local_pattern,augmented
Tripathi Garage,MERCHANT,auto,local_pattern,original
Faith Medical Stoer,MERCHANT,medical,local_pattern,augmented
Digital Fabrcis,MERCHANT,clothing,local_pattern,augmented
Shankar Eye Clinic,MERCHANT,medical,local_pattern,original
Jadhav.Electricals,MERCHANT,hardware,local_pattern,augmented
Choice  Makeover  Studio,MERCHANT,salon,local_pattern,augmented
Sharma Tyres,MERCHANT,auto,local_pattern,original
Opal  Silk  House,MERCHANT,clothing,local_pattern,augmented
ethj Sanitary,MERCHANT,hardware,local_pattern,augmented
Pai Phool Corner/28,MERCHANT,local_shop,desi_pattern,augmented
Imperial_Services,MERCHANT,local_shop,local_pattern,augmented
Shri Krishna Medicals JGI,MERCHANT,medical,local_pattern,augmented
Ghosh Fruit Cornefr,MERCHANT,local_shop,desi_pattern,augmented
Sai Makeover Studio,MERCHANT,salon,local_pattern,original
Pandey Herbal eBauty,MERCHANT,salon,local_pattern,augmented
Success Paint House,MERCHANT,hardware,local_pattern,original
Sari Non Veg Corn,MERCHANT,restaurant,local_pattern,augmented
Sursh Slon,MERCHANT,salon,local_pattern,augmented
Balaji Gadgets-4230,MERCHANT,electronics,local_pattern,augmented
Dinesh Emporium,MERCHANT,local_shop,local_pattern,original
Patil  Ka  Store,MERCHANT,local_shop,desi_pattern,augmented
Mueksh Pet Shop,MERCHANT,local_shop,local_pattern,augmented
Meena Cloth Store,MERCHANT,clothing,local_pattern,original
Chintu_Noodle_Wale,MERCHANT,local_shop,desi_pattern,augmented
Kamath Enterprs,MERCHANT,local_shop,local_pattern,augmented
BMRLC,MERCHANT,government,real_brand,augmented
ThoratKennel,MERCHANT,local_shop,local_pattern,augmented
Classic_Sofa_House,MERCHANT,furniture,local_pattern,augmented
Meena Vidya Mnir,MERCHANT,education,local_pattern,augmented
GrewalGroceryStore,MERCHANT,local_shop,local_pattern,augmented
Chhotu-Shop,MERCHANT,local_shop,local_pattern,augmented
BalajiJewellers,MERCHANT,jewellery,local_pattern,augmented
Ruby.Solutions,MERCHANT,professional,local_pattern,augmented
Narayan.Filling.Station,MERCHANT,fuel,local_pattern,augmented
Kamath Spa,MERCHANT,salon,local_pattern,original
JaiHanumanBeautySalon,MERCHANT,salon,local_pattern,augmented
iyer.carGO,MERCHANT,travel,local_pattern,augmented
Shroff Digital Studio,MERCHANT,stationery,local_pattern,original
UPI/Malik Mattress,MERCHANT,furniture,local_pattern,augmented
Bb Mar,MERCHANT,local_shop,local_pattern,augmented
Central Bank of India,MERCHANT,banking,real_brand,original
Gaxuri Gold House,MERCHANT,jewellery,local_pattern,augmented
Budh Priate Limitd,MERCHANT,local_shop,local_pattern,augmented
VishnuMattress,MERCHANT,furniture,local_pattern,augmented
Klsa Travels,MERCHANT,travel,local_pattern,augmented
Suresh  Petroleum,MERCHANT,fuel,local_pattern,augmented
Amber Photo Studio,MERCHANT,stationery,local_pattern,original
Super/General/Store,MERCHANT,local_shop,local_pattern,augmented
Star Coaching Centre,MERCHANT,education,local_pattern,original
Chopra Home Decor,MERCHANT,furniture,local_pattern,original
PAY-Dada Readymade,MERCHANT,clothing,local_pattern,augmented
Rake Flow S,MERCHANT,local_shop,local_pattern,augmented
Sonu Book House,MERCHANT,stationery,local_pattern,original
Solanki___Transport,MERCHANT,travel,local_pattern,augmented
Yadav Transport-9806,MERCHANT,travel,local_pattern,augmented
Kalsa epartmental Store,MERCHANT,local_shop,local_pattern,augmented
Al Madoina Sanitary,MERCHANT,hardware,local_pattern,augmented
Desai Bhojanalaya,MERCHANT,restaurant,local_pattern,original
RadheyChaatCorner,MERCHANT,restaurant,local_pattern,augmented
Parmar Barber Shop290,MERCHANT,salon,local_pattern,augmented
o Xerox,MERCHANT,stationery,local_pattern,augmented
Mega Institute-216,MERCHANT,education,local_pattern,augmented
Rajesh   Classes,MERCHANT,education,local_pattern,augmented
IMPS-Vitthal Service Centre,MERCHANT,auto,local_pattern,augmented
Sai Bab Can,MERCHANT,restaurant,local_pattern,augmented
Chic Silks,MERCHANT,clothing,local_pattern,augmented
Thakur  School,MERCHANT,education,local_pattern,augmented
Pawar-Beauty-Salon,MERCHANT,salon,local_pattern,augmented
Dattatreya Bridal Studio,MERCHANT,salon,local_pattern,original
Paney Ka Shp,MERCHANT,local_shop,desi_pattern,augmented
Ambika Tailors-472,MERCHANT,clothing,local_pattern,augmented
Sharma Interiors,MERCHANT,furniture,local_pattern,original
Progress Agency,MERCHANT,local_shop,local_pattern,original
Aro Tui Cen,MERCHANT,education,local_pattern,augmented
